OrderID,Date,CustomerID,ProductID,Region,Quantity,Revenue
10000,2024-01-01 00:00:00,C0151,P037,Quebec,4,448
10001,2024-01-01 01:00:00,C0144,P025,Ontario,3,531
10002,2024-01-01 02:00:00,C0057,P026,BC,1,143
10003,2024-01-01 03:00:00,C0039,P039,Quebec,3,417
10004,2024-01-01 04:00:00,C0109,P020,Alberta,4,704
10005,2024-01-01 05:00:00,C0181,P033,Manitoba,4,864
10006,2024-01-01 06:00:00,C0042,P014,BC,3,594
10007,2024-01-01 07:00:00,C0186,P036,Alberta,3,201
10008,2024-01-01 08:00:00,C0423,P017,Ontario,2,318
10009,2024-01-01 09:00:00,C0398,P021,Quebec,3,471
10010,2024-01-01 10:00:00,C0223,P046,Alberta,3,720
10011,2024-01-01 11:00:00,C0122,P016,BC,1,85
10012,2024-01-01 12:00:00,C0133,P046,Alberta,4,932
10013,2024-01-01 13:00:00,C0163,P016,Ontario,2,190
10014,2024-01-01 14:00:00,C0215,P020,Manitoba,1,158
10015,2024-01-01 15:00:00,C0221,P029,Quebec,3,696
10016,2024-01-01 16:00:00,C0235,P028,BC,4,712
10017,2024-01-01 17:00:00,C0331,P008,Quebec,3,699
10018,2024-01-01 18:00:00,C0146,P024,Quebec,3,471
10019,2024-01-01 19:00:00,C0239,P003,Quebec,3,771
10020,2024-01-01 20:00:00,C0076,P025,Alberta,3,432
10021,2024-01-01 21:00:00,C0009,P019,Alberta,4,516
10022,2024-01-01 22:00:00,C0074,P033,Manitoba,1,182
10023,2024-01-01 23:00:00,C0442,P002,Ontario,3,663
10024,2024-01-02 00:00:00,C0492,P015,BC,3,399
10025,2024-01-02 01:00:00,C0401,P022,Alberta,2,244
10026,2024-01-02 02:00:00,C0253,P010,Quebec,2,350
10027,2024-01-02 03:00:00,C0230,P018,Ontario,4,444
10028,2024-01-02 04:00:00,C0007,P022,BC,3,360
10029,2024-01-02 05:00:00,C0174,P046,BC,3,621
10030,2024-01-02 06:00:00,C0141,P049,BC,3,603
10031,2024-01-02 07:00:00,C0168,P027,BC,4,884
10032,2024-01-02 08:00:00,C0170,P013,Manitoba,4,792
10033,2024-01-02 09:00:00,C0393,P033,BC,3,639
10034,2024-01-02 10:00:00,C0434,P005,Ontario,3,654
10035,2024-01-02 11:00:00,C0283,P026,Alberta,4,560
10036,2024-01-02 12:00:00,C0122,P013,Ontario,3,747
10037,2024-01-02 13:00:00,C0194,P027,Quebec,1,184
10038,2024-01-02 14:00:00,C0005,P014,Manitoba,1,193
10039,2024-01-02 15:00:00,C0029,P024,Manitoba,4,880
10040,2024-01-02 16:00:00,C0165,P003,Quebec,1,280
10041,2024-01-02 17:00:00,C0422,P047,Ontario,2,256
10042,2024-01-02 18:00:00,C0339,P049,Ontario,3,666
10043,2024-01-02 19:00:00,C0136,P030,Quebec,2,206
10044,2024-01-02 20:00:00,C0496,P035,BC,2,270
10045,2024-01-02 21:00:00,C0365,P048,BC,2,590
10046,2024-01-02 22:00:00,C0321,P014,Alberta,1,227
10047,2024-01-02 23:00:00,C0342,P012,Ontario,3,621
10048,2024-01-03 00:00:00,C0500,P028,Ontario,3,552
10049,2024-01-03 01:00:00,C0145,P044,Quebec,4,572
10050,2024-01-03 02:00:00,C0327,P029,Quebec,2,370
10051,2024-01-03 03:00:00,C0217,P043,BC,1,194
10052,2024-01-03 04:00:00,C0301,P017,Ontario,2,360
10053,2024-01-03 05:00:00,C0132,P040,Ontario,2,296
10054,2024-01-03 06:00:00,C0292,P049,Manitoba,3,690
10055,2024-01-03 07:00:00,C0070,P021,Alberta,4,608
10056,2024-01-03 08:00:00,C0252,P023,Alberta,1,79
10057,2024-01-03 09:00:00,C0415,P020,BC,3,600
10058,2024-01-03 10:00:00,C0275,P011,Ontario,2,186
10059,2024-01-03 11:00:00,C0445,P034,Manitoba,3,645
10060,2024-01-03 12:00:00,C0364,P010,Ontario,2,390
10061,2024-01-03 13:00:00,C0182,P010,Quebec,1,177
10062,2024-01-03 14:00:00,C0167,P043,BC,3,669
10063,2024-01-03 15:00:00,C0091,P006,Alberta,3,624
10064,2024-01-03 16:00:00,C0202,P036,Ontario,3,336
